項番,旧項番,種別,単位,グループ,サブグループ,タスク,方法,抽出,対象（ソースコード、AST）,単位,備考,比較対象,表示形式
11,1.2.1.2.2,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,シーケンス図,モジュール間や手続き間の呼び出し関係を解析し、シーケンス図を作成する,シーケンス図,AST,Mermaid記法のコード,時系列に沿ったメッセージ交換を視覚化する,,グラフ（シーケンス図）
12,1.2.1.2.3,ダッシュボード,単一,COBOL言語構造特有の解析項目,,制御構造の階層表示,プログラム内の制御構造のネストを解析し、階層構造を可視化する,制御構造の階層ツリー,AST,データ構造,深いネストや複雑な制御構造を特定する,,グラフ（ツリーダイアグラム）
13,1.2.1.2.4,ダッシュボード,単一,COBOL言語構造特有の解析項目,,分岐/ループの視覚化,分岐やループの位置と頻度を解析し、プログラム内での分布を可視化する,"分岐の数, ループの数",AST,回,,,グラフ（ヒートマップ、棒グラフ）
14,1.2.2.1.1.1,ダッシュボード,単一,データフロー・データ構造・DB関連,,変数定義とその属性,"WORKING-STORAGE SECTIONから全ての変数を抽出し、そのデータ型、サイズ、初期値を解析する, 変数の使用状況やスコープも解析する","変数名, データ型, サイズ, 初期値, 使用状況",AST,"文字列, PICフォーマット, バイト",参照のみ、更新ありなど,変数命名規則、データ型の使用基準があれば比較可能,表形式
15,1.2.2.1.1.2,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,GROUP項目の階層構造,"グループ項目のレベル番号を解析し、階層関係を構築する, グループ項目内の要素やネスト深度を可視化する","階層構造, ネスト深度",AST,"データ構造, レベル数",,階層深度の上限があれば比較可能,グラフ（ツリーダイアグラム）
16,1.2.2.1.1.3,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,REDEFINES句による再定義,"REDEFINES句を持つ変数を特定し、再定義関係を解析する, メモリ共有やデータのオーバーレイを確認する","再定義元・先の変数名, 再定義の数",AST,"文字列, 件",,REDEFINES句の使用制限があれば比較可能,表形式
17,1.2.2.1.2.1,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,パラメータ定義,"LINKAGE SECTIONからパラメータとして使用される変数を抽出する, 呼び出し元とのデータ受け渡しを解析する","パラメータ名, データ型, 受け渡し方法",AST,"文字列, PICフォーマット",BY REFERENCE、BY CONTENTなど,パラメータ命名規則があれば比較可能,表形式
18,1.2.2.1.2.2,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,共有データ構造,"共有されるデータ構造（グローバル変数や共通領域）を特定する, 他のプログラムやモジュールとのデータ共有箇所を解析する","データ構造名, 構造の詳細, 共有範囲",AST,"文字列, データ構造","項目名、データ型, プログラム間、モジュール間",共有データの使用基準があれば比較可能,表形式、グラフ（ツリーダイアグラム）
19,1.2.2.1.3.1,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,ファイルレコード構造,"FILE SECTIONからファイルのレコード構造を解析する, ファイルごとのレコードレイアウトを特定する","ファイル名, レコード項目名とデータ型, レコードのサイズ",AST,"文字列, バイト",,ファイルレイアウトの標準があれば比較可能,表形式
20,1.2.2.1.3.2,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,バッファ領域定義,"ファイル操作で使用されるバッファ領域の定義を解析する, バッファのサイズや割り当て方法を確認する","バッファ領域名, サイズ, バッファタイプ",AST,"文字列, バイト",入力バッファ、出力バッファ,バッファサイズの制限があれば比較可能,表形式
21,1.2.2.2.1.1,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,直接代入,"MOVE文を解析し、変数間のデータ移動を特定する, 代入元と代入先のデータ型の一致性を確認する","代入元・代入先の変数名, MOVE文の総数",AST,"文字列, 回",,,表形式
22,1.2.2.2.1.2,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,GROUP項目の一括移動,"グループ項目間でのMOVE文を特定する, 一括移動によるデータ構造の変更を解析する","グループ項目名, 一括移動の回数",AST,"文字列, 回",,一括移動の使用ガイドラインがあれば比較可能,表形式
23,1.2.2.2.1.3,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,型変換を伴う移動,"データ型が異なる変数間のMOVE文を解析する, 暗黙の型変換が発生している箇所を特定する","型変換の種類, 型変換を伴うMOVE文の数, 潜在的なデータ損失の有無",AST,"文字列, 回",,型変換の許容範囲が定められている場合、比較が必要,表形式
24,1.2.2.2.2.1,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,演算結果の代入,"COMPUTE文を解析し、演算式と結果の代入先を特定する, 演算に使用されている演算子や関数を解析する","演算式, 代入先変数名, 使用されている演算子",AST,文字列,+、 -、 *、 /、など,,表形式
25,1.2.2.2.2.2,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,中間変数の代入,"計算過程で使用される中間変数への代入を特定する, 中間変数のスコープや再利用状況を解析する","中間変数名, 使用箇所, 再利用回数",AST,"文字列, 行番号, 回",,中間変数の使用ガイドラインがあれば比較可能,表形式
26,1.2.2.2.3.1,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,文字列操作,"STRING文を解析し、文字列の結合操作を特定する, 文字列操作時のオーバーフローやトランケーションの可能性を確認する","結合元・結合先の変数名, 操作回数, オーバーフローの可能性, トランケーションの可能性",AST,"文字列, 回, 有/無",,,表形式
27,1.2.2.2.3.2,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,データ分割/結合,"UNSTRING文を解析し、文字列の分割操作を特定する, 分割後のデータの格納先や使用状況を解析する","分割元・分割先の変数名, 操作回数",AST,"文字列, 回",,,表形式
28,1.2.2.2.4.1,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,データフローダイアグラム,変数間のデータの流れを解析し、データフローダイアグラムを作成する,データフローダイアグラム,AST,図,主なデータの生成元、変換箇所、利用先を視覚化する,,グラフ（データフロー図）
29,1.2.2.2.4.2,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,データ依存関係マトリクス,変数間の依存関係をマトリクス形式で整理する,データ依存関係マトリクス,AST,表,どの変数がどの変数に依存しているかを明確化する,,表形式
30,1.2.2.2.4.3,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,データ項目辞書,"すべてのデータ項目を抽出し、その属性と用途を整理する, 項目の説明や関連するビジネスロジックも記載する","データ項目名, データ型, 用途, 項目の説明",AST,"文字列, PICフォーマット",,データ項目の命名規則があれば比較可能,表形式
31,1.2.3.1.1,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,処理とデータの関連性把握,制御フローとデータフローを組み合わせ、各処理がどのデータを操作しているかを解析する,"処理とデータの関連マップ, 各処理で使用されるデータ項目の一覧",AST,"データ構造, 文字列",データ操作とそのタイミングを明確化する,,グラフ（フローチャートとデータフローの統合図）
32,1.2.3.1.2,ダッシュボード,単一,コード品質・保守性・最適化・規約順守関連,,クリティカルパスの特定,プログラム内で重要な処理経路やデータフローを特定する,"クリティカルパス上の処理名, クリティカルパスの長さ",AST,"文字列, ステップ数",処理時間や頻度を考慮して、ボトルネックとなる箇所を抽出する,,グラフ（強調表示されたフローチャート）
33,1.2.3.1.3,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,最適化機会の発見,"処理とデータの関連性から、重複処理や非効率な部分を特定する, パフォーマンス改善が可能な箇所を提案する","最適化が可能な箇所, 改善の見込み",AST,文字列,"行番号、処理名, ％、時間削減",,テキスト記述、表形式
34,1.3.1.1,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,命令規則違反,"コーディング規約に基づき、命令や構文の違反をチェックする, 特定の命令の使用禁止や制限事項を確認する","違反箇所数, 違反内容, 違反箇所",AST,"件, 文字列, 行番号",,コーディング規約が必要,表形式
35,1.3.1.2,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,インデント・整形状況,"ソースコードのインデントやフォーマットが規約に沿っているかを解析する, タブとスペースの混在や行の長さをチェックする","違反箇所数, 違反の詳細",コードファイル,"件, 文字列",,インデント規約が必要,テキスト記述、表形式
36,1.3.1.3,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,コメント記述状況,"コメント行数をカウントし、コード行数との比率を計算する, 必須コメント（モジュールヘッダー、関数説明など）の有無を確認する","コメント率, 必須コメントの欠落数",コードファイル,"%, 件",,コメント率の目標値や必須コメントの規定があれば比較可能,グラフ（パイチャート）、テキスト記述
37,1.3.2.1,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,デッドコード,到達不能なコードや未使用の手続きを特定する,"デッドコードの行番号, デッドコード箇所数",AST,"数値, 件",コントロールフロー解析を用いる,,表形式
38,1.3.2.2,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,未使用コマンド/関数/定数/変数/ポインタ,定義されているが使用されていない要素を特定する,"未使用要素の種類, 未使用要素の名前, 未使用要素の数",AST,"種類, 文字列, 件",,,表形式
39,1.3.2.3,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,重複コード,"類似または同一のコードブロックを検出する, コードクローン検出ツールを使用する","重複コードの範囲, 重複箇所数, 重複率",AST,"行番号, 件, %",,重複許容度の基準があれば比較可能,表形式
40,1.3.3.1,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,規模メトリクス,総行数、モジュール数、手続き数などを計測する,"総行数, モジュール数, 手続き数, 平均手続き長","コードファイル, AST","行, 個",コードのボリュームを定量化する,プロジェクトの平均値や標準値があれば比較可能,表形式、グラフ（棒グラフ）
41,1.3.3.2,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,複雑度メトリクス,サイクロマティック複雑度、エッセンシャル複雑度を計算する,"複雑度スコア, 平均複雑度, 複雑度の分布",AST,"数値, ヒストグラム",手続き毎の複雑度も算出する,複雑度の許容範囲が定められている場合、比較が必要,グラフ（棒グラフ、レーダーチャート）
42,1.3.3.3,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,品質メトリクス,可読性、保守性、再利用性などの品質指標を評価する,"品質スコア, 評価コメント",AST,"数値, 文字列",定性的な評価と定量的な指標を組み合わせる,品質評価基準があれば比較可能,グラフ（レーダーチャート）、表形式
43,1.3.4.1,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,データ結合度（Data Coupling）,モジュール間のデータ共有状況を解析し、結合度を評価する,"データ結合度スコア, 結合度のレベル",AST,"数値, 文字列","グローバル変数や共有データの使用頻度を算出する, 高、中、低",結合度の許容範囲が定められている場合、比較が必要,グラフ（ヒストグラム）
44,1.3.4.2,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,データフローの複雑性,データの流れを解析し、複雑性を評価する,"複雑性スコア, 平均データフロー長",AST,"数値, ステップ数",データ依存関係の数や深さを計測する,複雑性の基準があれば比較可能,グラフ（棒グラフ）
45,1.3.4.3,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,未使用データ項目の検出,定義されているが使用されていないデータ項目を特定する,"未使用データ項目名, 検出数",AST,"文字列, 件",メモリの無駄遣いや潜在的なバグを防ぐ,,表形式
46,1.3.4.4,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,データ型の整合性,データ型の不一致や不適切な型変換をチェックする,"不整合箇所数, 不整合の詳細, 影響範囲",AST,"件, 文字列","暗黙的な型変換が問題を引き起こす可能性を評価する, 行番号、モジュール名",データ型使用のガイドラインがあれば比較可能,表形式
47,2.1.1.1,ダッシュボード,単一,外部連携・システム依存・JCL・プラットフォーム関連,,外部プログラム呼び出し,CALL文を解析し、外部プログラムの呼び出しを特定する,"呼び出し先プログラム名, 呼び出し回数, 呼び出し箇所",AST,"文字列, 回, 行番号",呼び出しパラメータやエラー処理も解析する,外部プログラム使用の制限があれば比較可能,表形式
48,2.1.1.2,ダッシュボード,単一,外部連携・システム依存・JCL・プラットフォーム関連,,外部プログラムからの参照,他のプログラムからの呼び出しがあるかを調査する,"呼び出し元プログラム名, 呼び出されている回数",AST,"文字列, 回",逆方向の依存関係を明らかにする,,表形式
49,2.1.2.1,ダッシュボード,単一,外部連携・システム依存・JCL・プラットフォーム関連,,JCL参照解析,関連するJCLを解析し、プログラムの実行パラメータや環境を特定する,"JCL名, 使用パラメータ, 関連するデータセット名",AST,文字列,JCLもAST解析できるか？,JCLの標準があれば比較可能,表形式
50,2.1.2.2,ダッシュボード,単一,外部連携・システム依存・JCL・プラットフォーム関連,,ジョブ依存関係,ジョブの実行順序や依存関係を解析する,"依存関係図, ジョブの実行順序",AST,"データ構造, リスト",JOB間のPRECEDENCEやTRIGGER条件を確認する,ジョブ管理のガイドラインがあれば比較可能,グラフ（フローチャート）
51,2.1.2.3,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,データセット使用状況,"JCLやプログラム内で使用されているデータセット名を抽出する, データセットのアクセスモードや共有状況を解析する","データセット名, アクセスモード, 使用箇所",AST,"文字列, 行番号",読み取り、書き込み,データセット管理のポリシーがあれば比較可能,表形式、テキスト記述
52,2.2.1.1,ダッシュボード,単一,データフロー・データ構造・DB関連,データベースアクセス・テーブル関連,SQL文の種類と頻度,ソースコード内の埋め込みSQLを解析し、種類と出現回数を集計する,"SQL文の種類, 出現回数, 全体に対する割合",AST,"文字列, 回, %",,データベースアクセスのガイドラインがあれば比較可能,表形式、グラフ（棒グラフ）
53,2.2.1.2,ダッシュボード,単一,データフロー・データ構造・DB関連,データベースアクセス・テーブル関連,テーブル参照関係,"SQL文を解析し、参照されているテーブル名とその関係を特定する, テーブル間の結合やサブクエリの使用状況を解析する","テーブル名, 参照回数, テーブル間の関係",AST,"文字列, 回",JOIN条件,データベース設計の標準があれば比較可能,表形式、グラフ（ネットワーク図）
54,2.2.2.1,ダッシュボード,単一,データフロー・データ構造・DB関連,データベースアクセス・テーブル関連,DB種別検出（DB2、VSAM、IMSDB）,"使用されているデータベースの種類を特定する, 接続文字列やデータベース特有の命令を解析する","データベース種別, 使用箇所",AST,"文字列, 行番号",,,表形式
55,2.2.2.2,ダッシュボード,単一,データフロー・データ構造・DB関連,データベースアクセス・テーブル関連,アクセスパターン分析,"データベースへのアクセス方法や頻度を解析する, トランザクションの長さや頻度を評価する","アクセスパターン, アクセス回数, 平均トランザクション長",AST,"文字列, 回, 操作数",シーケンシャル、ランダム,パフォーマンス基準があれば比較可能,表形式、グラフ（ヒストグラム）
56,2.2.2.3,ダッシュボード,単一,データフロー・データ構造・DB関連,データベースアクセス・テーブル関連,トランザクション境界,"トランザクション開始と終了の位置を特定する, BEGIN TRANSACTION、COMMIT、ROLLBACKなどの命令を解析する","トランザクション数, 境界位置, トランザクションの平均長",AST,"件, 行番号, 操作数",,トランザクション管理のガイドラインがあれば比較可能,テキスト記述、表形式
57,2.2.3.1,ダッシュボード,単一,バッチ処理・ソート関連,,バッチ構造,"バッチ処理の全体的な流れと構成要素を解析する, ステップごとの依存関係や処理内容を特定する","処理ステップ, ステップ数, スケジュール情報",AST,"文字列, 件",実行時間、頻度,バッチ処理の標準があれば比較可能,グラフ（フローチャート）、表形式
58,2.2.3.2,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,ファイル処理,ファイルの読み書き操作を特定し、使用されているファイル名やモードを解析する,"ファイル名, 操作種類, アクセスモード",AST,文字列,"読み取り、書き込み, シーケンシャル、ランダム",ファイル操作のガイドラインがあれば比較可能,表形式
59,2.2.3.3,ダッシュボード,単一,バッチ処理・ソート関連,,ソート/マージ,"SORT文やMERGE文を解析し、その使用状況を特定する, ソートキーやマージ条件も解析する","ソート/マージの回数, 対象データ, ソートキー",AST,"回, 文字列",,パフォーマンス基準があれば比較可能,テキスト記述、表形式
60,2.2.4.1,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,データ項目間の依存関係,"データ項目の生成元と使用先を解析し、依存関係を特定する, データの流れを明確化する","データ項目名, 依存関係, 依存度",AST,"文字列, 数値",マッピング,,グラフ（データフロー図）、表形式
61,2.2.4.2,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,データ変換パターン,"データの変換処理を解析する, 共通の変換パターンを分類する","変換パターン, 該当箇所数, 影響を受けるデータ項目",AST,"文字列, 件",型変換、フォーマット変更など,データ変換の標準があれば比較可能,表形式
62,2.2.4.3,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,データ整合性チェック,"データ検証やエラーチェックの実装箇所を特定する, チェック内容を解析する","チェック項目, 実装箇所, チェックの種類",AST,"文字列, 行番号",範囲、形式、一意性,データ品質基準があれば比較可能,表形式
63,2.2.5.1,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,共通データ操作の特定,"頻繁に使用されるデータ操作を特定する, 再利用可能な処理を抽出する","操作内容, 使用回数, 対象データ項目",AST,"文字列, 回",特定の計算やフォーマット処理,共通処理のライブラリ化が推奨されている場合、比較が必要,表形式
64,2.2.5.2,ダッシュボード,単一,データフロー・データ構造・DB関連,データフロー・依存関係・品質,データ変換ロジックの分類,"データ変換処理をパターン別に分類する, 変換の目的や手法を明確化する","変換パターン, 該当箇所数, 使用されているアルゴリズム",AST,"文字列, 件",,データ変換の標準があれば比較可能,表形式
65,2.2.5.3,ダッシュボード,単一,コード品質・保守性・最適化・規約順守関連,,エラー処理パターン,"エラーハンドリングの実装方法を解析し、パターンを特定する, 共通のエラー処理ルーチンの有無を確認する","エラー処理パターン, 使用箇所数, エラー種類",AST,"文字列, 件",致命的、警告、情報,エラー処理のガイドラインがあれば比較可能,表形式
66,2.3.1.1,ダッシュボード,単一,外部連携・システム依存・JCL・プラットフォーム関連,,プロトコル検出,"ソースコード内で外部システムと通信する際に使用されているプロトコルを特定する, 通信ライブラリやAPIの使用状況を解析する","使用されているプロトコル名, プロトコルの使用回数, 使用箇所",AST,"文字列, 回, 行番号",TCP/IP、HTTP、MQなど,標準的に使用すべきプロトコルのガイドラインがあれば比較可能,表形式、テキスト記述
67,2.3.1.2,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,データフォーマット,"データ交換時に使用されているデータフォーマットを特定する, データシリアライゼーションの方法やフォーマット変換の有無を解析する","データフォーマットの種類, 使用頻度, 対象となるデータ項目",AST,"文字列, 回",XML、JSON、CSVなど,データフォーマットの標準があれば比較可能,表形式、グラフ（円グラフ）、テキスト記述
68,2.3.1.3,ダッシュボード,単一,外部連携・システム依存・JCL・プラットフォーム関連,,システム依存関係,外部システムとの依存関係を解析し、どのシステムとどのようなやり取りがあるかを特定する,"外部システム名, 依存関係の種類, 通信頻度",AST,文字列,"インターフェース仕様や通信内容を解析する, データ送受信、API呼び出しなど, 回数、時間帯",システム間連携のガイドラインがあれば比較可能,表形式、グラフ（ネットワーク図）
69,2.3.2.1,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,画面制御方式,ソースコード内の画面制御に関する命令やライブラリの使用状況を解析する,"使用されている画面制御方式, 使用回数, 使用箇所",AST,"文字列, 回, 行番号",CICS、BMSなど,標準的な画面制御方式が定められている場合、比較が必要,表形式、テキスト記述
70,2.3.2.2,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,画面セクション構造,SCREEN SECTIONの定義を解析し、画面項目やレイアウトを特定する,"画面項目名, レイアウト情報, フィールド属性",AST,文字列,"フィールド属性や検証ルールも解析する, 位置、属性など, 入力、表示のみ",画面設計のガイドラインがあれば比較可能,表形式、グラフ（画面レイアウト図）
71,2.3.2.3,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,端末I/O,"ACCEPTやDISPLAYなどの端末入出力命令の使用状況を解析する, 入出力のタイミングや頻度を特定する","端末I/O命令の使用回数, 使用箇所, 入出力データ項目",AST,"回, 行番号, 文字列",,端末I/Oの使用ガイドラインがあれば比較可能,表形式
72,2.3.3.1,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,出力フォーム定義の解析,プログラム内で定義されている出力フォームの定義部分を解析する,"フォーム名, フォームの項目一覧, フォームの階層構造",AST,"文字列, データ構造","REPORT SECTIONや書式指定されたWRITE文などを解析する, 項目名、データ型、位置情報",フォーム定義に関するコーディング規約や設計標準があれば比較可能,表形式（フォーム項目の一覧）、グラフ（フォームレイアウト図）
73,2.3.3.2,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,フォームレイアウトの可視化,フォームのレイアウト情報をもとに、実際の出力イメージを可視化する,"フォームのレイアウト図, フォームのイメージプレビュー",AST,"図, イメージ",位置指定や書式指定を解析し、フォームの見た目を再現する,出力フォームのデザイン標準があれば比較可能,グラフ（フォームのレイアウト図）、イメージ（プレビュー画像）
74,2.3.3.3,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,フォーム項目の属性分析,"フォーム内の各項目について、属性を解析する, フォントやスタイル情報も解析する","項目名, データ型, 表示形式, 編集規則, スタイル情報",AST,"文字列, PICフォーマット","データ型、表示形式、編集規則などを解析する, フォント、サイズ",項目属性や表示形式に関するガイドラインがあれば比較可能,表形式（項目の属性一覧）
75,2.3.3.4,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,フォーム出力ロジックの追跡,"フォームへのデータ出力処理を追跡する, MOVE文やWRITE文などを解析する","データ項目とフォーム項目のマッピング, 出力処理の箇所",AST,"データ構造, 行番号",,データとフォーム項目の対応に関する設計標準があれば比較可能,表形式（データとフォーム項目のマッピング一覧）、グラフ（データフロー図）
76,3.1.1.1,ダッシュボード,単一,外部連携・システム依存・JCL・プラットフォーム関連,,プラットフォーム依存性,プラットフォーム固有の命令やAPIの使用箇所を特定する,"プラットフォーム依存部分の使用回数, 使用箇所, 依存しているプラットフォームの種類",AST,"回, 行番号, 文字列","アセンブラコード内で特定のハードウェアやOSに依存する命令セットや拡張機能も検出する, OS、ハードウェア",プラットフォーム非依存性のガイドラインがあれば比較可能,表形式
77,3.1.1.2,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,コードの理解難易度,複雑な構造や特殊な記法の使用箇所を解析する,"理解難易度スコア, 複雑な箇所のリスト, 平均難易度",AST,"数値, 行番号, 文字列","サイクロマティック複雑度やネストの深さ、コメント率などのコードメトリクスも算出する, 高・中・低で分類",コードの複雑度評価基準があれば比較可能,グラフ（レーダーチャート）、表形式
78,3.1.2.1,ダッシュボード,単一,外部連携・システム依存・JCL・プラットフォーム関連,,メーカー方言分析,"特定メーカーの方言や拡張機能の使用箇所を特定する, 方言特有の予約語や構文、組み込み関数も検出する","方言の種類, 使用回数, 該当箇所の詳細情報",AST,"文字列, 回","IBM、日立、NEC、富士通、ユニシス, 行番号、コードスニペット",標準COBOLへの準拠度を評価する基準があれば比較可能,表形式、グラフ（円グラフ、棒グラフ）
79,3.1.2.2,ダッシュボード,単一,データフロー・データ構造・DB関連,ファイル・レコード・フォーマット関連,文字コード分析,"使用されている文字コードを特定する, コード内で文字コードを明示的に扱っている箇所を検出する","文字コードの種類, 文字コードが混在している箇所の割合",AST,"文字列, %",EBCDIC、Shift-JIS,文字コードの統一基準があれば比較可能,テキスト記述、グラフ（円グラフ、棒グラフ）
80,3.1.2.3,ダッシュボード,単一,外部連携・システム依存・JCL・プラットフォーム関連,,ダイアレクト特性分析,特殊な構文やキーワードの使用状況を解析する,"使用されている特殊構文の種類, 使用回数, 特殊構文の使用目的や代替可能な標準構文の提案",AST,"文字列, 回",非標準的なデータ型やファイルシステム、制御構造も検出,,表形式、グラフ
